!xValues(GHz)	yValues(K)
84.2933237480	0.000000e+00
84.2938170350	0.000000e+00
84.2943103210	0.000000e+00
84.2948036080	0.000000e+00
84.2952968940	0.000000e+00
84.2957901810	0.000000e+00
84.2962834670	0.000000e+00
84.2967767540	0.000000e+00
84.2972700400	0.000000e+00
84.2977633270	0.000000e+00
84.2982566130	0.000000e+00
84.2987499000	0.000000e+00
84.2992431860	0.000000e+00
84.2997364730	0.000000e+00
84.3002297590	0.000000e+00
84.3007230460	0.000000e+00
84.3012163320	0.000000e+00
84.3017096190	0.000000e+00
84.3022029050	0.000000e+00
84.3026961920	0.000000e+00
84.3031894780	0.000000e+00
84.3036827650	0.000000e+00
84.3041760510	0.000000e+00
84.3046693380	0.000000e+00
84.3051626240	0.000000e+00
84.3056559110	0.000000e+00
84.3061491970	0.000000e+00
84.3066424840	0.000000e+00
84.3071357700	0.000000e+00
84.3076290570	0.000000e+00
84.3081223430	0.000000e+00
84.3086156300	0.000000e+00
84.3091089160	0.000000e+00
84.3096022030	0.000000e+00
84.3100954890	0.000000e+00
84.3105887760	0.000000e+00
84.3110820620	0.000000e+00
84.3115753490	0.000000e+00
84.3120686350	0.000000e+00
84.3125619220	0.000000e+00
84.3130552080	0.000000e+00
84.3135484950	0.000000e+00
84.3140417810	0.000000e+00
84.3145350680	0.000000e+00
84.3150283540	0.000000e+00
84.3155216410	0.000000e+00
84.3160149270	0.000000e+00
84.3165082140	0.000000e+00
84.3170015000	0.000000e+00
84.3174947870	0.000000e+00
84.3179880730	0.000000e+00
84.3184813600	0.000000e+00
84.3189746460	0.000000e+00
84.3194679330	0.000000e+00
84.3199612190	0.000000e+00
84.3204545060	0.000000e+00
84.3209477920	0.000000e+00
84.3214410790	0.000000e+00
84.3219343650	0.000000e+00
84.3224276520	0.000000e+00
84.3229209380	0.000000e+00
84.3234142250	0.000000e+00
84.3239075110	0.000000e+00
84.3244007980	0.000000e+00
84.3248940840	0.000000e+00
84.3253873710	0.000000e+00
84.3258806570	0.000000e+00
84.3263739440	0.000000e+00
84.3268672300	0.000000e+00
84.3273605170	0.000000e+00
84.3278538030	0.000000e+00
84.3283470900	0.000000e+00
84.3288403760	0.000000e+00
84.3293336630	0.000000e+00
84.3298269490	0.000000e+00
84.3303202360	0.000000e+00
84.3308135220	0.000000e+00
84.3313068090	0.000000e+00
84.3318000950	0.000000e+00
84.3322933820	0.000000e+00
84.3327866680	0.000000e+00
84.3332799550	0.000000e+00
84.3337732410	0.000000e+00
84.3342665280	0.000000e+00
84.3347598140	0.000000e+00
84.3352531010	0.000000e+00
84.3357463870	0.000000e+00
84.3362396740	0.000000e+00
84.3367329600	0.000000e+00
84.3372262470	0.000000e+00
84.3377195330	0.000000e+00
84.3382128200	0.000000e+00
84.3387061060	0.000000e+00
84.3391993930	0.000000e+00
84.3396926790	0.000000e+00
84.3401859660	0.000000e+00
84.3406792520	0.000000e+00
84.3411725390	0.000000e+00
84.3416658250	0.000000e+00
84.3421591120	0.000000e+00
84.3426523980	0.000000e+00
84.3431456850	0.000000e+00
84.3436389710	0.000000e+00
84.3441322580	0.000000e+00
84.3446255440	0.000000e+00
84.3451188310	0.000000e+00
84.3456121170	0.000000e+00
84.3461054040	0.000000e+00
84.3465986900	0.000000e+00
84.3470919770	0.000000e+00
84.3475852630	0.000000e+00
84.3480785500	0.000000e+00
84.3485718360	0.000000e+00
84.3490651230	0.000000e+00
84.3495584090	0.000000e+00
84.3500516960	0.000000e+00
84.3505449820	0.000000e+00
84.3510382690	0.000000e+00
84.3515315550	0.000000e+00
84.3520248420	0.000000e+00
84.3525181280	0.000000e+00
84.3530114150	0.000000e+00
84.3535047010	0.000000e+00
84.3539979880	0.000000e+00
84.3544912740	0.000000e+00
84.3549845610	0.000000e+00
84.3554778470	0.000000e+00
84.3559711340	0.000000e+00
84.3564644200	0.000000e+00
84.3569577070	0.000000e+00
84.3574509930	0.000000e+00
84.3579442800	0.000000e+00
84.3584375660	0.000000e+00
84.3589308530	0.000000e+00
84.3594241390	0.000000e+00
84.3599174260	0.000000e+00
84.3604107120	0.000000e+00
84.3609039990	0.000000e+00
84.3613972850	0.000000e+00
84.3618905720	0.000000e+00
84.3623838580	0.000000e+00
84.3628771450	0.000000e+00
84.3633704310	0.000000e+00
84.3638637180	0.000000e+00
84.3643570040	0.000000e+00
84.3648502910	0.000000e+00
84.3653435770	0.000000e+00
84.3658368640	0.000000e+00
84.3663301500	0.000000e+00
84.3668234370	0.000000e+00
84.3673167230	0.000000e+00
84.3678100100	0.000000e+00
84.3683032960	0.000000e+00
84.3687965830	0.000000e+00
84.3692898690	0.000000e+00
84.3697831560	0.000000e+00
84.3702764420	0.000000e+00
84.3707697290	0.000000e+00
84.3712630150	0.000000e+00
84.3717563020	0.000000e+00
84.3722495880	0.000000e+00
84.3727428750	0.000000e+00
84.3732361610	0.000000e+00
84.3737294480	0.000000e+00
84.3742227340	0.000000e+00
84.3747160210	0.000000e+00
84.3752093070	0.000000e+00
84.3757025940	0.000000e+00
84.3761958800	0.000000e+00
84.3766891670	0.000000e+00
84.3771824530	0.000000e+00
84.3776757400	0.000000e+00
84.3781690260	0.000000e+00
84.3786623130	0.000000e+00
84.3791555990	0.000000e+00
84.3796488860	0.000000e+00
84.3801421720	0.000000e+00
84.3806354590	0.000000e+00
84.3811287450	0.000000e+00
84.3816220320	0.000000e+00
84.3821153180	0.000000e+00
84.3826086050	0.000000e+00
84.3831018910	0.000000e+00
84.3835951780	0.000000e+00
84.3840884640	0.000000e+00
84.3845817510	0.000000e+00
84.3850750370	0.000000e+00
84.3855683240	0.000000e+00
84.3860616110	0.000000e+00
84.3865548970	0.000000e+00
84.3870481840	0.000000e+00
84.3875414700	0.000000e+00
84.3880347570	0.000000e+00
84.3885280430	0.000000e+00
84.3890213300	0.000000e+00
84.3895146160	0.000000e+00
84.3900079030	0.000000e+00
84.3905011890	0.000000e+00
84.3909944760	0.000000e+00
84.3914877620	0.000000e+00
84.3919810490	0.000000e+00
84.3924743350	0.000000e+00
84.3929676220	0.000000e+00
84.3934609080	0.000000e+00
84.3939541950	0.000000e+00
84.3944474810	0.000000e+00
84.3949407680	0.000000e+00
84.3954340540	0.000000e+00
84.3959273410	0.000000e+00
84.3964206270	0.000000e+00
84.3969139140	0.000000e+00
84.3974072000	0.000000e+00
84.3979004870	0.000000e+00
84.3983937730	0.000000e+00
84.3988870600	0.000000e+00
84.3993803460	0.000000e+00
84.3998736330	0.000000e+00
84.4003669190	0.000000e+00
84.4008602060	0.000000e+00
84.4013534920	0.000000e+00
84.4018467790	0.000000e+00
84.4023400650	0.000000e+00
84.4028333520	0.000000e+00
84.4033266380	0.000000e+00
84.4038199250	0.000000e+00
84.4043132110	0.000000e+00
84.4048064980	0.000000e+00
84.4052997840	0.000000e+00
84.4057930710	0.000000e+00
84.4062863570	0.000000e+00
84.4067796440	0.000000e+00
84.4072729300	0.000000e+00
84.4077662170	0.000000e+00
84.4082595030	0.000000e+00
84.4087527900	0.000000e+00
84.4092460760	0.000000e+00
84.4097393630	0.000000e+00
84.4102326490	0.000000e+00
84.4107259360	0.000000e+00
84.4112192220	0.000000e+00
84.4117125090	0.000000e+00
84.4122057950	0.000000e+00
84.4126990820	0.000000e+00
84.4131923680	0.000000e+00
84.4136856550	0.000000e+00
84.4141789410	0.000000e+00
84.4146722280	0.000000e+00
84.4151655140	0.000000e+00
84.4156588010	0.000000e+00
84.4161520870	0.000000e+00
84.4166453740	0.000000e+00
84.4171386600	0.000000e+00
84.4176319470	0.000000e+00
84.4181252330	0.000000e+00
84.4186185200	0.000000e+00
84.4191118060	0.000000e+00
84.4196050930	0.000000e+00
84.4200983790	0.000000e+00
84.4205916660	0.000000e+00
84.4210849520	0.000000e+00
84.4215782390	0.000000e+00
84.4220715250	0.000000e+00
84.4225648120	0.000000e+00
84.4230580980	0.000000e+00
84.4235513850	0.000000e+00
84.4240446710	0.000000e+00
84.4245379580	0.000000e+00
84.4250312440	0.000000e+00
84.4255245310	0.000000e+00
